"DetailModelName","PipeRef","SSC","Comment"
"Becton","36816608.1","SSC_Limekiln_LL1","PF"
"Becton","37831803.1","SSC_Wicklane_Outfall","PF"
"Becton","38823901.1","SSC_AbbeyMills_LL1","PF"
"Becton","38835101.1","SSC_AbbeyMills_LL2","PF"
"Becton","TQ36882103.1","SSC_DagenhamBrook_Outfall","PF"
"Becton","43835007.1","FolkR_Pump","PF"
"Mogden","320_232.1","SSC_FLBS_CSO","PF"
"Mogden","320_245.1","SSC_TRUMPERS_STORM","PF"
"Mogden","583_120.1","SSC_UXBRIDGE_ROAD","PF"
"Mogden","320_256.1","SSC_SIDMOUTH","PF"
"Mogden","TNK37100.1","SSC_HONEYPOT_LANE","PF"
"Mogden","TNK32085.1","SSC_DAINTRYCLOSE_CSO","PF"
"Mogden","TNK32155.1","SSC_DAINTRYCLOSE_20","PF"
"Mogden","TNK32190.1","SSC_GARDEN_WAY","PF"
"Mogden","320_205.1","SSC_PARKGATE","PF"
"Mogden","TNK44840.1","SSC_BROUGHTON_AVE","PF"
"Mogden","TNK42045.1","SSC_LEESIDE_CRESCENT","PF"
"Mogden","462_028.1","SSC_BRENTPARK","PF"
"Mogden","420_110.1","SSC_LINDSAY_DRIVE","PF"
"Mogden","TNK00425.1","SSC_FIELDEND_STORM","PF"
"Mogden","10_120.1","SSC_TORCROSS_RD","PF"
"Mogden","70_140.1","SSC_WEST_RUISLIP","PF"
"Mogden","10_158.1","SSC_DELAMORE_RD","PF"
"Mogden","10_193.1","SSC_CLARK_WAY","PF"
"Mogden","705_020.1","SSC_LONSDALE_RD","PF"
"Mogden","900_102.1","SSC_BRENTFORD_DOCK","PF"
"Mogden","900_140.1","SSC_IVYBRIDGE","PF"
"Mogden","18758601.1","SSC_PETERSHAM_10","PF"
"Mogden","18759705.1","SSC_PETERSHAM_20","PF"
"Mogden","19751607.1","SSC_PETERSHAM_30","PF"
"Mogden","20766002.2","SSC_BARNESSTORM","PF"
"Mogden","19768301.1","SSC_PETERSHAM_40","PF"
"Mogden","FLUME.1","SSC_KEWTRANSFERPUMP","PF"
"Mogden","10_200.1","SSC_MOGDEN_STW","PF"
"Mogden","616_125.1","SSC_RADNOR","PF"
"Mogden","780_110.1","SSC_TWICKENHAM_10","PF"
"Mogden","616_160.1","SSC_TWICKENHAM_20","PF"
"Mogden","150_100.1","SSC_BATHROAD_SSO","PF"
"Becton","38837012.1","AbbeyMills","PF"
